epoch,lr,step
0,9.999999747378752e-06,0
0,1.0282978109898977e-05,1
0,1.0565956472419202e-05,2
0,1.0848934834939428e-05,3
0,1.1131914106954355e-05,4
0,1.141489246947458e-05,5
0,1.1697870831994805e-05,6
0,1.198084919451503e-05,7
0,1.2263827557035256e-05,8
0,1.2546805919555482e-05,9
0,1.2829784282075707e-05,10
0,1.3112762644595932e-05,11
0,1.3395741007116158e-05,12
0,1.3678719369636383e-05,13
0,1.3961697732156608e-05,14
0,1.4244676094676834e-05,15
0,1.4527654457197059e-05,16
0,1.4810632819717284e-05,17
0,1.509361118223751e-05,18
0,1.5376590454252437e-05,19
0,1.5659568816772662e-05,20
0,1.5942547179292887e-05,21
0,1.6225525541813113e-05,22
0,1.6508503904333338e-05,23
0,1.6791482266853563e-05,24
0,1.707446062937379e-05,25
0,1.7357438991894014e-05,26
0,1.764041735441424e-05,27
