epoch,lr,step,train_loss,val_loss
0,9.999999747378752e-06,0,,
0,1.00353699963307e-05,1,,
0,1.0070739335787948e-05,2,,
0,1.0106109584739897e-05,3,,
0,1.0141478924197145e-05,4,,
0,1.0176849173149094e-05,5,,
0,1.0212218512606341e-05,6,,
0,1.024758876155829e-05,7,,
0,1.0282958101015538e-05,8,,
0,1.0318328349967487e-05,9,,
0,1.0353697689424735e-05,10,,
0,1.0389067938376684e-05,11,,
0,1.0424437277833931e-05,12,,
0,1.045980752678588e-05,13,,
0,1.0495176866243128e-05,14,,
0,1.0530546205700375e-05,15,,
0,1.0565916454652324e-05,16,,
0,1.0601285794109572e-05,17,,
0,1.0636656043061521e-05,18,,
0,1.0672025382518768e-05,19,,
0,1.0707395631470717e-05,20,,
0,1.0742764970927965e-05,21,,
0,1.0778135219879914e-05,22,,
0,1.0813504559337161e-05,23,,
0,1.084887480828911e-05,24,,
0,1.0884244147746358e-05,25,,
0,1.0919614396698307e-05,26,,
0,1.0954983736155555e-05,27,,
0,1.0990353985107504e-05,28,,
0,1.1025723324564751e-05,29,,
0,1.10610935735167e-05,30,,
0,1.1096462912973948e-05,31,,
0,1.1131833161925897e-05,32,,
0,1.1167202501383144e-05,33,,
0,1.1202572750335094e-05,34,,
0,1.1237942089792341e-05,35,,
0,1.127331233874429e-05,36,,
0,1.1308681678201538e-05,37,,
0,1.1344051017658785e-05,38,,
0,1.1379421266610734e-05,39,,
0,1.1414790606067982e-05,40,,
0,1.145016085501993e-05,41,,
0,1.1485530194477178e-05,42,,
0,1.1520900443429127e-05,43,,
0,1.1556269782886375e-05,44,,
0,1.1591640031838324e-05,45,,
0,1.1627009371295571e-05,46,,
0,1.166237962024752e-05,47,,
0,1.1697748959704768e-05,48,,
0,1.1733119208656717e-05,49,,
0,1.1768488548113964e-05,50,,
0,1.1803858797065914e-05,51,,
0,1.1839228136523161e-05,52,,
0,1.187459838547511e-05,53,,
0,1.1909967724932358e-05,54,,
0,1.1945337973884307e-05,55,,
0,1.1980707313341554e-05,56,,
0,1.2016077562293503e-05,57,,
0,1.205144690175075e-05,58,,
0,1.20868171507027e-05,59,,
0,1.2122186490159947e-05,60,,
0,1.2157555829617195e-05,61,,
0,1.2192926078569144e-05,62,,
0,1.2228295418026391e-05,63,,
0,1.226366566697834e-05,64,,
0,1.2299035006435588e-05,65,,
0,1.2334405255387537e-05,66,,
0,1.2369774594844785e-05,67,,
0,1.2405144843796734e-05,68,,
0,1.2440514183253981e-05,69,,
0,1.247588443220593e-05,70,,
0,1.2511253771663178e-05,71,,
0,1.2546624020615127e-05,72,,
0,1.2581993360072374e-05,73,,
0,1.2617363609024324e-05,74,,
0,1.2652732948481571e-05,75,,
0,1.268810319743352e-05,76,,
0,1.2723472536890768e-05,77,,
0,1.2758842785842717e-05,78,,
0,1.2794212125299964e-05,79,,
0,1.2829582374251913e-05,80,,
0,1.286495171370916e-05,81,,
0,1.290032196266111e-05,82,,
0,1.2935691302118357e-05,83,,
0,1.2971060641575605e-05,84,,
0,1.3006430890527554e-05,85,,
0,1.3041800229984801e-05,86,,
0,1.307717047893675e-05,87,,
0,1.3112539818393998e-05,88,,
0,1.3147910067345947e-05,89,,
0,1.3183279406803194e-05,90,,
0,1.3218649655755144e-05,91,,
0,1.3254018995212391e-05,92,,
0,1.328938924416434e-05,93,,
0,1.3324758583621588e-05,94,,
0,1.3360128832573537e-05,95,,
0,1.3395498172030784e-05,96,,
0,1.3430868420982733e-05,97,,
0,1.346623776043998e-05,98,,
0,1.350160800939193e-05,99,,
0,1.3536977348849177e-05,100,,
0,1.3572347597801127e-05,101,,
0,1.3607716937258374e-05,102,,
0,1.3643087186210323e-05,103,,
0,1.367845652566757e-05,104,,
0,1.371382677461952e-05,105,,
0,1.3749196114076767e-05,106,,
0,1.3784566363028716e-05,107,,
0,1.3819935702485964e-05,108,,
0,1.3855305041943211e-05,109,,
0,1.389067529089516e-05,110,,
0,1.3926044630352408e-05,111,,
0,1.3961414879304357e-05,112,,
0,1.3996784218761604e-05,113,,
0,1.4032154467713553e-05,114,,
0,1.4067523807170801e-05,115,,
0,1.410289405612275e-05,116,,
0,1.4138263395579997e-05,117,,
0,1.4173633644531947e-05,118,,
0,1.4209002983989194e-05,119,,
0,1.4244373232941143e-05,120,,
0,1.427974257239839e-05,121,,
0,1.431511282135034e-05,122,,
0,1.4350482160807587e-05,123,,
0,1.4385852409759536e-05,124,,
0,1.4421221749216784e-05,125,,
0,1.4456591998168733e-05,126,,
0,1.449196133762598e-05,127,,
0,1.452733158657793e-05,128,,
0,1.4562700926035177e-05,129,,
0,1.4598071174987126e-05,130,,
0,1.4633440514444374e-05,131,,
0,1.4668809853901621e-05,132,,
0,1.470418010285357e-05,133,,
0,1.4739549442310818e-05,134,,
0,1.4774919691262767e-05,135,,
0,1.4810289030720014e-05,136,,
0,1.4845659279671963e-05,137,,
0,1.488102861912921e-05,138,,
0,1.491639886808116e-05,139,,
0,1.4951768207538407e-05,140,,
0,1.4987138456490356e-05,141,,
0,1.5022507795947604e-05,142,,
0,1.5057878044899553e-05,143,,
0,1.50932473843568e-05,144,,
0,1.512861763330875e-05,145,,
0,1.5163986972765997e-05,146,,
0,1.5199357221717946e-05,147,,
0,1.5234726561175194e-05,148,,
0,1.527009590063244e-05,149,,
0,1.530546614958439e-05,150,,
0,1.534083639853634e-05,151,,
0,1.537620664748829e-05,152,,
0,1.5411575077450834e-05,153,,
0,1.5446945326402783e-05,154,,
0,1.5482315575354733e-05,155,,
0,1.5517684005317278e-05,156,,
0,1.5553054254269227e-05,157,,
0,1.5588424503221177e-05,158,,
0,1.5623794752173126e-05,159,,
0,1.565916318213567e-05,160,,
0,1.569453343108762e-05,161,,
0,1.572990368003957e-05,162,,
0,1.576527392899152e-05,163,,
0,1.5800642358954065e-05,164,,
0,1.5836012607906014e-05,165,,
0,1.5871382856857963e-05,166,,
0,1.5906753105809912e-05,167,,
0,1.5942121535772458e-05,168,,
0,1.5977491784724407e-05,169,,
0,1.6012862033676356e-05,170,,
0,1.6048232282628305e-05,171,,
0,1.608360071259085e-05,172,,
0,1.61189709615428e-05,173,,
0,1.615434121049475e-05,174,,
0,1.61897114594467e-05,175,,
0,1.6225079889409244e-05,176,,
0,1.6260450138361193e-05,177,,
0,1.6295820387313142e-05,178,,
0,1.6331188817275688e-05,179,,
0,1.6366559066227637e-05,180,,
0,1.6401929315179586e-05,181,,
0,1.6437299564131536e-05,182,,
0,1.647266799409408e-05,183,,
0,1.650803824304603e-05,184,,
0,1.654340849199798e-05,185,,
0,1.657877874094993e-05,186,,
0,1.6614147170912474e-05,187,,
0,1.6649517419864424e-05,188,,
0,1.6684887668816373e-05,189,,
0,1.6720257917768322e-05,190,,
0,1.6755626347730868e-05,191,,
0,1.6790996596682817e-05,192,,
0,1.6826366845634766e-05,193,,
0,1.6861737094586715e-05,194,,
0,1.689710552454926e-05,195,,
0,1.693247577350121e-05,196,,
0,1.696784602245316e-05,197,,
0,1.7003216271405108e-05,198,,
0,1.7038584701367654e-05,199,,
0,1.7073954950319603e-05,200,,
0,1.7109325199271552e-05,201,,
0,1.7144693629234098e-05,202,,
0,1.7180063878186047e-05,203,,
0,1.7215434127137996e-05,204,,
0,1.7250804376089945e-05,205,,
0,1.728617280605249e-05,206,,
0,1.732154305500444e-05,207,,
0,1.735691330395639e-05,208,,
0,1.739228355290834e-05,209,,
0,1.7427651982870884e-05,210,,
0,1.7463022231822833e-05,211,,
0,1.7498392480774783e-05,212,,
0,1.7533762729726732e-05,213,,
0,1.7569131159689277e-05,214,,
0,1.7604501408641227e-05,215,,
0,1.7639871657593176e-05,216,,
0,1.7675241906545125e-05,217,,
0,1.771061033650767e-05,218,,
0,1.774598058545962e-05,219,,
0,1.778135083441157e-05,220,,
0,1.7816721083363518e-05,221,,
0,1.7852089513326064e-05,222,,
0,1.7887459762278013e-05,223,,
0,1.7922830011229962e-05,224,,
0,1.795820026018191e-05,225,,
0,1.7993568690144457e-05,226,,
0,1.8028938939096406e-05,227,,
0,1.8064309188048355e-05,228,,
0,1.80996776180109e-05,229,,
0,1.813504786696285e-05,230,,
0,1.81704181159148e-05,231,,
0,1.820578836486675e-05,232,,
0,1.8241156794829294e-05,233,,
0,1.8276527043781243e-05,234,,
0,1.8311897292733192e-05,235,,
0,1.834726754168514e-05,236,,
0,1.8382635971647687e-05,237,,
0,1.8418006220599636e-05,238,,
0,1.8453376469551586e-05,239,,
0,1.8488746718503535e-05,240,,
0,1.852411514846608e-05,241,,
0,1.855948539741803e-05,242,,
0,1.859485564636998e-05,243,,
0,1.8630225895321928e-05,244,,
0,1.8665594325284474e-05,245,,
0,1.8700964574236423e-05,246,,
0,1.8736334823188372e-05,247,,
0,1.877170507214032e-05,248,,
0,1.8807073502102867e-05,249,,
0,1.8842443751054816e-05,250,,
0,1.8877814000006765e-05,251,,
0,1.891318242996931e-05,252,,
0,1.894855267892126e-05,253,,
0,1.898392292787321e-05,254,,
0,1.9019293176825158e-05,255,,
0,1.9054661606787704e-05,256,,
0,1.9090031855739653e-05,257,,
0,1.9125402104691602e-05,258,,
0,1.916077235364355e-05,259,,
0,1.9196140783606097e-05,260,,
0,1.9231511032558046e-05,261,,
0,1.9266881281509995e-05,262,,
0,1.9302251530461945e-05,263,,
0,1.933761996042449e-05,264,,
0,1.937299020937644e-05,265,,
0,1.940836045832839e-05,266,,
0,1.9443730707280338e-05,267,,
0,1.9479099137242883e-05,268,,
0,1.9514469386194833e-05,269,,
0,1.9549839635146782e-05,270,,
0,1.958520988409873e-05,271,,
0,1.9620578314061277e-05,272,,
0,1.9655948563013226e-05,273,,
0,1.9691318811965175e-05,274,,
0,1.972668724192772e-05,275,,
0,1.976205749087967e-05,276,,
0,1.979742773983162e-05,277,,
0,1.9832797988783568e-05,278,,
0,1.9868166418746114e-05,279,,
0,1.9903536667698063e-05,280,,
0,1.9938906916650012e-05,281,,
0,1.997427716560196e-05,282,,
0,2.0009645595564507e-05,283,,
0,2.0045015844516456e-05,284,,
0,2.0080386093468405e-05,285,,
0,2.0115756342420354e-05,286,,
0,2.01511247723829e-05,287,,
0,2.018649502133485e-05,288,,
0,2.02218652702868e-05,289,,
0,2.0257235519238748e-05,290,,
0,2.0292603949201293e-05,291,,
0,2.0327974198153242e-05,292,,
0,2.036334444710519e-05,293,,
0,2.039871469605714e-05,294,,
0,2.0434083126019686e-05,295,,
0,2.0469453374971636e-05,296,,
0,2.0504823623923585e-05,297,,
0,2.054019205388613e-05,298,,
0,2.057556230283808e-05,299,,
0,2.061093255179003e-05,300,,
0,2.0646302800741978e-05,301,,
0,2.0681671230704524e-05,302,,
0,2.0717041479656473e-05,303,,
0,2.0752411728608422e-05,304,,
0,2.078778197756037e-05,305,,
0,2.0823150407522917e-05,306,,
0,2.0858520656474866e-05,307,,
