,energy_pred,energy,event_no
0,263.4894104003906,109.08813768147776,5176.0
1,237.97811889648438,103.67365762028808,584.0
2,13.855433464050293,4.710784103379065,7427.0
3,23.938201904296875,34.851481774536325,7550.0
4,4834.4521484375,7518.478185940891,3174.0
5,153.63772583007812,369.5016534101532,6356.0
6,29.036073684692383,55.768349133613214,59.0
7,13.759071350097656,20.293751775118952,7016.0
8,891.8610229492188,929.7083756205488,455.0
9,805.2717895507812,786.1893642556553,727.0
10,104.95147705078125,114.25075648896602,1701.0
11,85.90092468261719,60.965755345075685,3594.0
12,99.43785858154297,189.6652096562578,5699.0
13,97.16462707519531,229.77013407870402,1376.0
14,13.991851806640625,11.363653917085605,2981.0
15,163.68124389648438,247.90681957213553,5865.0
16,209.7506561279297,246.74846083912382,1588.0
17,207.0262451171875,127.89120504055845,3994.0
18,197.02749633789062,87.0470807882459,5647.0
19,48.641929626464844,5.011020810303077,3216.0
20,129.3351287841797,40.68192744106376,6311.0
21,223.42431640625,175.68398717748278,2941.0
22,83.8069839477539,50.30991007648499,1192.0
23,153.02291870117188,298.1821583949968,1861.0
24,190.66786193847656,143.58741205304054,4098.0
25,14.825822830200195,13.193115842628554,2753.0
26,251.4200897216797,148.4215088800759,3086.0
27,341.0894775390625,147.8599094557446,686.0
28,31.852397918701172,42.91113310716862,3900.0
29,70.7662124633789,1192.642709110927,6313.0
30,16.294498443603516,37.145113697211094,4370.0
31,13.776878356933594,4.2402578790475856,1206.0
32,342.167724609375,595.14394646873,1523.0
33,287.43414306640625,204.40189030964893,6479.0
34,51.49652862548828,76.64887312802063,5264.0
35,737.9400634765625,1330.044910006663,2898.0
36,20.126256942749023,12.981466402214267,6987.0
37,16.084341049194336,22.71470484993412,6811.0
38,118.34344482421875,104.78648040702438,2250.0
39,177.9696044921875,340.0056259597424,483.0
40,47.20244216918945,33.15113343313397,6834.0
41,81.59064483642578,65.67240777730309,765.0
42,1228.6290283203125,1096.590336889277,2460.0
43,15.973687171936035,26.528263102872753,1382.0
44,237.79603576660156,143.2992912720482,4668.0
45,148.4844970703125,61.86976518029969,4517.0
46,13.720575332641602,52.73276957220899,3846.0
47,1212.3505859375,1534.6248508676972,4358.0
48,14.01896858215332,52.50121830870509,7265.0
49,16.68421745300293,6.188629445487406,3991.0
50,47.29435348510742,7.844125453113212,3704.0
51,14.130718231201172,4.118388145526226,7334.0
52,363.22711181640625,283.8171205601758,5426.0
53,103.58826446533203,120.2680143159319,1017.0
54,2016.6744384765625,1414.5317918136664,2792.0
55,145.98240661621094,254.66490583973146,4642.0
56,1332.482421875,950.9780067099299,2354.0
57,16.918371200561523,4.127535791502605,3790.0
58,384.9630432128906,1192.6819470894145,1418.0
59,53.24458694458008,157.78392624564776,4153.0
60,272.1739807128906,162.3064940645142,7259.0
61,359.10693359375,216.01001217327362,4803.0
62,481.19769287109375,378.3008739809093,3241.0
63,26.082752227783203,31.36372458683479,6512.0
64,73.16161346435547,98.3355789802357,1385.0
65,13.722469329833984,5.356130833754806,4769.0
66,265.24169921875,132.54066050105124,6634.0
67,525.1571044921875,262.8728564228995,3996.0
68,478.9615173339844,568.3618534449606,5858.0
69,158.72813415527344,92.19411176714922,7266.0
70,89.6020278930664,129.90444840344043,720.0
71,13.723875999450684,3.4582478839127058,311.0
72,836.6499633789062,1492.9375370575053,3244.0
73,19.08966064453125,10.614576407392255,4584.0
74,845.684326171875,669.4824242011642,5322.0
75,257.7300720214844,157.23779276346124,6605.0
76,88.353271484375,70.95519127356667,878.0
77,494.7118835449219,415.14499719455995,384.0
78,66.54085540771484,58.61585233883041,6927.0
79,212.78750610351562,171.71210001051466,586.0
80,82.62908935546875,89.20146941390017,7411.0
81,181.13632202148438,97.90348284255784,4724.0
82,32.727203369140625,244.00880089624835,6728.0
83,85.7023696899414,137.44054352406698,6914.0
84,58.54537582397461,433.5232797020191,3515.0
