epoch,lr,step,train_loss,val_loss
0,9.999999747378752e-06,0,,
0,1.0088424460263923e-05,1,,
0,1.0176849173149094e-05,2,,
0,1.0265272976539563e-05,3,,
0,1.0353697689424735e-05,4,,
0,1.0442122402309906e-05,5,,
0,1.0530546205700375e-05,6,,
0,1.0618970918585546e-05,7,,
0,1.0707395631470717e-05,8,,
0,1.0795820344355889e-05,9,,
0,1.0884244147746358e-05,10,,
0,1.097266886063153e-05,11,,
0,1.10610935735167e-05,12,,
0,1.114951737690717e-05,13,,
0,1.1237942089792341e-05,14,,
0,1.1326366802677512e-05,15,,
0,1.1414790606067982e-05,16,,
0,1.1503215318953153e-05,17,,
0,1.1591640031838324e-05,18,,
0,1.1680064744723495e-05,19,,
0,1.1768488548113964e-05,20,,
0,1.1856913260999136e-05,21,,
0,1.1945337973884307e-05,22,,
0,1.2033761777274776e-05,23,,
0,1.2122186490159947e-05,24,,
0,1.2210611203045119e-05,25,,
0,1.2299035006435588e-05,26,,
0,1.238745971932076e-05,27,,
0,1.247588443220593e-05,28,,
0,1.25643082355964e-05,29,,
0,1.2652732948481571e-05,30,,
0,1.2741157661366742e-05,31,,
0,1.2829582374251913e-05,32,,
0,1.2918006177642383e-05,33,,
0,1.3006430890527554e-05,34,,
0,1.3094855603412725e-05,35,,
0,1.3183279406803194e-05,36,,
0,1.3271704119688366e-05,37,,
0,1.3360128832573537e-05,38,,
0,1.3448552635964006e-05,39,,
0,1.3536977348849177e-05,40,,
0,1.3625402061734349e-05,41,,
0,1.371382677461952e-05,42,,
0,1.3802250578009989e-05,43,,
0,1.389067529089516e-05,44,,
0,1.3979100003780331e-05,45,,
0,1.4067523807170801e-05,46,,
0,1.4155948520055972e-05,47,,
0,1.4244373232941143e-05,48,,
0,1.4332797036331613e-05,49,,
0,1.4421221749216784e-05,50,,
0,1.4509646462101955e-05,51,,
0,1.4598071174987126e-05,52,,
0,1.4686494978377596e-05,53,,
0,1.4774919691262767e-05,54,,
0,1.4863344404147938e-05,55,,
0,1.4951768207538407e-05,56,,
0,1.5040192920423578e-05,57,,
0,1.512861763330875e-05,58,,
0,1.5217041436699219e-05,59,,
0,1.530546614958439e-05,60,,
0,1.539389086246956e-05,61,,
0,1.5482315575354733e-05,62,,
0,1.5570740288239904e-05,63,,
0,1.565916318213567e-05,64,,
0,1.5747587895020843e-05,65,,
0,1.5836012607906014e-05,66,,
0,1.5924437320791185e-05,67,,
0,1.6012862033676356e-05,68,,
0,1.6101286746561527e-05,69,,
0,1.61897114594467e-05,70,,
0,1.6278134353342466e-05,71,,
0,1.6366559066227637e-05,72,,
0,1.645498377911281e-05,73,,
0,1.654340849199798e-05,74,,
0,1.663183320488315e-05,75,,
0,1.6720257917768322e-05,76,,
0,1.680868081166409e-05,77,,
0,1.689710552454926e-05,78,,
0,1.6985530237434432e-05,79,,
0,1.7073954950319603e-05,80,,
0,1.7162379663204774e-05,81,,
0,1.7250804376089945e-05,82,,
0,1.7339229088975117e-05,83,,
0,1.7427651982870884e-05,84,,
0,1.7516076695756055e-05,85,,
0,1.7604501408641227e-05,86,,
0,1.7692926121526398e-05,87,,
0,1.778135083441157e-05,88,,
0,1.786977554729674e-05,89,,
0,1.795820026018191e-05,90,,
0,1.804662315407768e-05,91,,
0,1.813504786696285e-05,92,,
0,1.822347257984802e-05,93,,
0,1.8311897292733192e-05,94,,
0,1.8400322005618364e-05,95,,
0,1.8488746718503535e-05,96,,
0,1.8577169612399302e-05,97,,
0,1.8665594325284474e-05,98,,
0,1.8754019038169645e-05,99,,
0,1.8842443751054816e-05,100,,
0,1.8930868463939987e-05,101,,
0,1.9019293176825158e-05,102,,
0,1.910771788971033e-05,103,,
0,1.9196140783606097e-05,104,,
0,1.9284565496491268e-05,105,,
0,1.937299020937644e-05,106,,
0,1.946141492226161e-05,107,,
0,1.9549839635146782e-05,108,,
0,1.9638264348031953e-05,109,,
0,1.972668724192772e-05,110,,
0,1.9815111954812892e-05,111,,
0,1.9903536667698063e-05,112,,
0,1.9991961380583234e-05,113,,
0,2.0080386093468405e-05,114,,
0,2.0168810806353576e-05,115,,
0,2.0257235519238748e-05,116,,
0,2.0345658413134515e-05,117,,
0,2.0434083126019686e-05,118,,
0,2.0522507838904858e-05,119,,
0,2.061093255179003e-05,120,,
0,2.06993572646752e-05,121,,
0,2.078778197756037e-05,122,,
0,2.0876206690445542e-05,123,,
0,2.096462958434131e-05,124,,
0,2.105305429722648e-05,125,,
0,2.1141479010111652e-05,126,,
0,2.1229903722996823e-05,127,,
0,2.1318328435881995e-05,128,,
0,2.1406753148767166e-05,129,,
0,2.1495176042662933e-05,130,,
0,2.1583600755548105e-05,131,,
0,2.1672025468433276e-05,132,,
0,2.1760450181318447e-05,133,,
0,2.1848874894203618e-05,134,,
0,2.193729960708879e-05,135,,
0,2.202572431997396e-05,136,,
0,2.2114147213869728e-05,137,,
0,2.22025719267549e-05,138,,
0,2.229099663964007e-05,139,,
0,2.237942135252524e-05,140,,
0,2.2467846065410413e-05,141,,
0,2.2556270778295584e-05,142,,
0,2.264469367219135e-05,143,,
0,2.2733118385076523e-05,144,,
0,2.2821543097961694e-05,145,,
0,2.2909967810846865e-05,146,,
0,2.2998392523732036e-05,147,,
0,2.3086817236617208e-05,148,,
0,2.317524194950238e-05,149,,
0,2.3263664843398146e-05,150,,
0,2.3352089556283318e-05,151,,
0,2.344051426916849e-05,152,,
0,2.352893898205366e-05,153,,
0,2.361736369493883e-05,154,,
0,2.3705788407824002e-05,155,,
0,2.3794213120709173e-05,156,,
0,2.388263601460494e-05,157,,
0,2.3971060727490112e-05,158,,
0,2.4059485440375283e-05,159,,
0,2.4147910153260455e-05,160,,
0,2.4236334866145626e-05,161,,
0,2.4324759579030797e-05,162,,
0,2.4413182472926565e-05,163,,
0,2.4501607185811736e-05,164,,
0,2.4590031898696907e-05,165,,
0,2.4678456611582078e-05,166,,
0,2.476688132446725e-05,167,,
0,2.485530603735242e-05,168,,
0,2.494373075023759e-05,169,,
0,2.503215364413336e-05,170,,
0,2.512057835701853e-05,171,,
0,2.52090030699037e-05,172,,
0,2.5297427782788873e-05,173,,
0,2.5385852495674044e-05,174,,
0,2.5474277208559215e-05,175,,
0,2.5562700102454983e-05,176,,
0,2.5651124815340154e-05,177,,
0,2.5739549528225325e-05,178,,
0,2.5827974241110496e-05,179,,
0,2.5916398953995667e-05,180,,
0,2.600482366688084e-05,181,,
0,2.609324837976601e-05,182,,
0,2.6181671273661777e-05,183,,
0,2.627009598654695e-05,184,,
0,2.635852069943212e-05,185,,
0,2.644694541231729e-05,186,,
0,2.6535370125202462e-05,187,,
0,2.6623794838087633e-05,188,,
0,2.6712219550972804e-05,189,,
0,2.6800642444868572e-05,190,,
0,2.6889067157753743e-05,191,,
0,2.6977491870638914e-05,192,,
0,2.7065916583524086e-05,193,,
0,2.7154341296409257e-05,194,,
0,2.7242766009294428e-05,195,,
0,2.7331188903190196e-05,196,,
0,2.7419613616075367e-05,197,,
0,2.7508038328960538e-05,198,,
0,2.759646304184571e-05,199,,
0,2.768488775473088e-05,200,,
0,2.777331246761605e-05,201,,
0,2.7861737180501223e-05,202,,
0,2.795016007439699e-05,203,,
0,2.803858478728216e-05,204,,
0,2.8127009500167333e-05,205,,
0,2.8215434213052504e-05,206,,
0,2.8303858925937675e-05,207,,
0,2.8392283638822846e-05,208,,
0,2.8480706532718614e-05,209,,
0,2.8569131245603785e-05,210,,
0,2.8657555958488956e-05,211,,
0,2.8745980671374127e-05,212,,
0,2.88344053842593e-05,213,,
0,2.892283009714447e-05,214,,
0,2.901125481002964e-05,215,,
0,2.909967770392541e-05,216,,
0,2.918810241681058e-05,217,,
0,2.927652712969575e-05,218,,
0,2.9364951842580922e-05,219,,
0,2.9453376555466093e-05,220,,
0,2.9541801268351264e-05,221,,
0,2.9630225981236435e-05,222,,
0,2.9718648875132203e-05,223,,
0,2.9807073588017374e-05,224,,
0,2.9895498300902545e-05,225,,
0,2.9983923013787717e-05,226,,
0,3.0072347726672888e-05,227,,
0,3.016077243955806e-05,228,,
0,3.0249195333453827e-05,229,,
0,3.0337620046338998e-05,230,,
0,3.042604475922417e-05,231,,
0,3.051446947210934e-05,232,,
0,3.060289236600511e-05,233,,
0,3.069131707889028e-05,234,,
0,3.077974179177545e-05,235,,
0,3.086816650466062e-05,236,,
0,3.095659121754579e-05,237,,
0,3.1045015930430964e-05,238,,
0,3.1133440643316135e-05,239,,
0,3.1221865356201306e-05,240,,
0,3.131029006908648e-05,241,,
0,3.139871478197165e-05,242,,
0,3.148713949485682e-05,243,,
0,3.157556420774199e-05,244,,
0,3.166398892062716e-05,245,,
0,3.1752409995533526e-05,246,,
0,3.18408347084187e-05,247,,
0,3.192925942130387e-05,248,,
0,3.201768413418904e-05,249,,
0,3.210610884707421e-05,250,,
0,3.219453355995938e-05,251,,
