epoch,lr,step
0,9.999999747378752e-06,0
0,1.0018797183874995e-05,1
0,1.0037593710876536e-05,2
0,1.0056391147372779e-05,3
0,1.007518767437432e-05,4
0,1.0093985110870562e-05,5
0,1.0112781637872104e-05,6
0,1.0131579074368346e-05,7
0,1.0150375601369888e-05,8
0,1.016917303786613e-05,9
0,1.0187969564867672e-05,10
0,1.0206767001363914e-05,11
0,1.0225563528365456e-05,12
0,1.0244360964861698e-05,13
0,1.026315749186324e-05,14
0,1.0281954928359482e-05,15
0,1.0300751455361024e-05,16
0,1.0319548891857266e-05,17
0,1.0338345418858808e-05,18
0,1.035714285535505e-05,19
0,1.0375940291851293e-05,20
0,1.0394736818852834e-05,21
0,1.0413534255349077e-05,22
0,1.0432330782350618e-05,23
0,1.0451128218846861e-05,24
0,1.0469924745848402e-05,25
0,1.0488722182344645e-05,26
0,1.0507518709346186e-05,27
0,1.052631614584243e-05,28
0,1.054511267284397e-05,29
0,1.0563910109340213e-05,30
0,1.0582706636341754e-05,31
0,1.0601504072837997e-05,32
0,1.0620300599839538e-05,33
0,1.0639098036335781e-05,34
0,1.0657894563337322e-05,35
0,1.0676691999833565e-05,36
0,1.0695488526835106e-05,37
0,1.071428596333135e-05,38
0,1.073308249033289e-05,39
0,1.0751879926829133e-05,40
0,1.0770676453830674e-05,41
0,1.0789473890326917e-05,42
0,1.0808270417328458e-05,43
0,1.0827067853824701e-05,44
0,1.0845864380826242e-05,45
0,1.0864661817322485e-05,46
0,1.0883458344324026e-05,47
0,1.0902255780820269e-05,48
0,1.092105230782181e-05,49
0,1.0939849744318053e-05,50
0,1.0958646271319594e-05,51
0,1.0977443707815837e-05,52
0,1.0996240234817378e-05,53
0,1.1015037671313621e-05,54
0,1.1033834198315162e-05,55
0,1.1052631634811405e-05,56
0,1.1071428161812946e-05,57
0,1.1090225598309189e-05,58
0,1.110902212531073e-05,59
0,1.1127819561806973e-05,60
0,1.1146616088808514e-05,61
0,1.1165413525304757e-05,62
0,1.1184210961801e-05,63
0,1.1203007488802541e-05,64
0,1.1221804925298784e-05,65
0,1.1240601452300325e-05,66
0,1.1259398888796568e-05,67
0,1.1278195415798109e-05,68
0,1.1296992852294352e-05,69
0,1.1315789379295893e-05,70
0,1.1334586815792136e-05,71
0,1.1353383342793677e-05,72
0,1.137218077928992e-05,73
0,1.1390977306291461e-05,74
0,1.1409774742787704e-05,75
0,1.1428571269789245e-05,76
0,1.1447368706285488e-05,77
0,1.1466165233287029e-05,78
0,1.1484962669783272e-05,79
0,1.1503759196784813e-05,80
0,1.1522556633281056e-05,81
0,1.1541353160282597e-05,82
0,1.156015059677884e-05,83
0,1.1578947123780381e-05,84
0,1.1597744560276624e-05,85
0,1.1616541087278165e-05,86
0,1.1635338523774408e-05,87
0,1.1654135050775949e-05,88
0,1.1672932487272192e-05,89
0,1.1691729014273733e-05,90
0,1.1710526450769976e-05,91
0,1.1729322977771517e-05,92
0,1.174812041426776e-05,93
0,1.1766916941269301e-05,94
0,1.1785714377765544e-05,95
0,1.1804510904767085e-05,96
0,1.1823308341263328e-05,97
0,1.1842104868264869e-05,98
0,1.1860902304761112e-05,99
0,1.1879698831762653e-05,100
0,1.1898496268258896e-05,101
0,1.1917292795260437e-05,102
0,1.193609023175668e-05,103
0,1.1954887668252923e-05,104
0,1.1973684195254464e-05,105
0,1.1992481631750707e-05,106
0,1.2011278158752248e-05,107
0,1.203007559524849e-05,108
0,1.2048872122250032e-05,109
0,1.2067669558746275e-05,110
0,1.2086466085747816e-05,111
0,1.2105263522244059e-05,112
0,1.21240600492456e-05,113
0,1.2142857485741843e-05,114
0,1.2161654012743384e-05,115
0,1.2180451449239627e-05,116
0,1.2199247976241168e-05,117
0,1.221804541273741e-05,118
0,1.2236841939738952e-05,119
0,1.2255639376235195e-05,120
0,1.2274435903236736e-05,121
0,1.2293233339732978e-05,122
0,1.231202986673452e-05,123
0,1.2330827303230762e-05,124
0,1.2349623830232304e-05,125
0,1.2368421266728546e-05,126
0,1.2387217793730088e-05,127
0,1.240601523022633e-05,128
0,1.2424811757227872e-05,129
0,1.2443609193724114e-05,130
0,1.2462405720725656e-05,131
0,1.2481203157221898e-05,132
0,1.249999968422344e-05,133
0,1.2518797120719682e-05,134
0,1.2537593647721224e-05,135
0,1.2556391084217466e-05,136
0,1.2575187611219008e-05,137
0,1.259398504771525e-05,138
0,1.2612781574716792e-05,139
0,1.2631579011213034e-05,140
0,1.2650375538214575e-05,141
0,1.2669172974710818e-05,142
0,1.268796950171236e-05,143
0,1.2706766938208602e-05,144
0,1.2725563465210143e-05,145
0,1.2744360901706386e-05,146
0,1.276315833820263e-05,147
0,1.278195486520417e-05,148
0,1.2800752301700413e-05,149
0,1.2819548828701954e-05,150
0,1.2838346265198197e-05,151
0,1.2857142792199738e-05,152
0,1.2875940228695981e-05,153
0,1.2894736755697522e-05,154
0,1.2913534192193765e-05,155
0,1.2932330719195306e-05,156
0,1.295112815569155e-05,157
0,1.296992468269309e-05,158
0,1.2988722119189333e-05,159
0,1.3007518646190874e-05,160
0,1.3026316082687117e-05,161
0,1.3045112609688658e-05,162
0,1.3063910046184901e-05,163
0,1.3082706573186442e-05,164
0,1.3101504009682685e-05,165
0,1.3120300536684226e-05,166
0,1.3139097973180469e-05,167
0,1.315789450018201e-05,168
0,1.3176691936678253e-05,169
0,1.3195488463679794e-05,170
0,1.3214285900176037e-05,171
0,1.3233082427177578e-05,172
0,1.3251879863673821e-05,173
0,1.3270676390675362e-05,174
0,1.3289473827171605e-05,175
0,1.3308270354173146e-05,176
0,1.3327067790669389e-05,177
0,1.334586431767093e-05,178
0,1.3364661754167173e-05,179
0,1.3383458281168714e-05,180
0,1.3402255717664957e-05,181
0,1.3421052244666498e-05,182
