epoch,lr,step,train_loss,val_loss
0,9.999999747378752e-06,0,,
0,1.0037593710876536e-05,1,,
0,1.007518767437432e-05,2,,
0,1.0112781637872104e-05,3,,
0,1.0150375601369888e-05,4,,
0,1.0187969564867672e-05,5,,
0,1.0225563528365456e-05,6,,
0,1.026315749186324e-05,7,,
0,1.0300751455361024e-05,8,,
0,1.0338345418858808e-05,9,,
0,1.0375940291851293e-05,10,,
0,1.0413534255349077e-05,11,,
0,1.0451128218846861e-05,12,,
0,1.0488722182344645e-05,13,,
0,1.052631614584243e-05,14,,
0,1.0563910109340213e-05,15,,
0,1.0601504072837997e-05,16,,
0,1.0639098036335781e-05,17,,
0,1.0676691999833565e-05,18,,
0,1.071428596333135e-05,19,,
0,1.0751879926829133e-05,20,,
0,1.0789473890326917e-05,21,,
0,1.0827067853824701e-05,22,,
0,1.0864661817322485e-05,23,,
0,1.0902255780820269e-05,24,,
0,1.0939849744318053e-05,25,,
0,1.0977443707815837e-05,26,,
0,1.1015037671313621e-05,27,,
0,1.1052631634811405e-05,28,,
0,1.1090225598309189e-05,29,,
0,1.1127819561806973e-05,30,,
0,1.1165413525304757e-05,31,,
0,1.1203007488802541e-05,32,,
0,1.1240601452300325e-05,33,,
0,1.1278195415798109e-05,34,,
0,1.1315789379295893e-05,35,,
0,1.1353383342793677e-05,36,,
0,1.1390977306291461e-05,37,,
0,1.1428571269789245e-05,38,,
0,1.1466165233287029e-05,39,,
0,1.1503759196784813e-05,40,,
0,1.1541353160282597e-05,41,,
0,1.1578947123780381e-05,42,,
0,1.1616541087278165e-05,43,,
0,1.1654135050775949e-05,44,,
0,1.1691729014273733e-05,45,,
0,1.1729322977771517e-05,46,,
0,1.1766916941269301e-05,47,,
0,1.1804510904767085e-05,48,,
0,1.1842104868264869e-05,49,,
0,1.1879698831762653e-05,50,,
0,1.1917292795260437e-05,51,,
0,1.1954887668252923e-05,52,,
0,1.1992481631750707e-05,53,,
0,1.203007559524849e-05,54,,
0,1.2067669558746275e-05,55,,
0,1.2105263522244059e-05,56,,
0,1.2142857485741843e-05,57,,
0,1.2180451449239627e-05,58,,
0,1.221804541273741e-05,59,,
0,1.2255639376235195e-05,60,,
0,1.2293233339732978e-05,61,,
0,1.2330827303230762e-05,62,,
0,1.2368421266728546e-05,63,,
0,1.240601523022633e-05,64,,
0,1.2443609193724114e-05,65,,
0,1.2481203157221898e-05,66,,
0,1.2518797120719682e-05,67,,
0,1.2556391084217466e-05,68,,
0,1.259398504771525e-05,69,,
0,1.2631579011213034e-05,70,,
0,1.2669172974710818e-05,71,,
0,1.2706766938208602e-05,72,,
0,1.2744360901706386e-05,73,,
0,1.278195486520417e-05,74,,
0,1.2819548828701954e-05,75,,
0,1.2857142792199738e-05,76,,
0,1.2894736755697522e-05,77,,
0,1.2932330719195306e-05,78,,
0,1.296992468269309e-05,79,,
0,1.3007518646190874e-05,80,,
0,1.3045112609688658e-05,81,,
0,1.3082706573186442e-05,82,,
0,1.3120300536684226e-05,83,,
0,1.315789450018201e-05,84,,
0,1.3195488463679794e-05,85,,
0,1.3233082427177578e-05,86,,
0,1.3270676390675362e-05,87,,
0,1.3308270354173146e-05,88,,
0,1.334586431767093e-05,89,,
0,1.3383458281168714e-05,90,,
0,1.3421052244666498e-05,91,,
0,1.3458646208164282e-05,92,,
0,1.3496240171662066e-05,93,,
0,1.353383413515985e-05,94,,
0,1.3571429008152336e-05,95,,
0,1.360902297165012e-05,96,,
0,1.3646616935147904e-05,97,,
0,1.3684210898645688e-05,98,,
0,1.3721804862143472e-05,99,,
0,1.3759398825641256e-05,100,,
0,1.379699278913904e-05,101,,
0,1.3834586752636824e-05,102,,
0,1.3872180716134608e-05,103,,
0,1.3909774679632392e-05,104,,
0,1.3947368643130176e-05,105,,
0,1.398496260662796e-05,106,,
0,1.4022556570125744e-05,107,,
0,1.4060150533623528e-05,108,,
0,1.4097744497121312e-05,109,,
0,1.4135338460619096e-05,110,,
0,1.417293242411688e-05,111,,
0,1.4210526387614664e-05,112,,
0,1.4248120351112448e-05,113,,
0,1.4285714314610232e-05,114,,
0,1.4323308278108016e-05,115,,
0,1.43609022416058e-05,116,,
0,1.4398496205103584e-05,117,,
0,1.4436090168601368e-05,118,,
0,1.4473684132099152e-05,119,,
0,1.4511278095596936e-05,120,,
0,1.454887205909472e-05,121,,
0,1.4586466022592504e-05,122,,
0,1.4624059986090288e-05,123,,
0,1.4661653949588072e-05,124,,
0,1.4699247913085856e-05,125,,
0,1.473684187658364e-05,126,,
0,1.4774435840081424e-05,127,,
0,1.4812029803579208e-05,128,,
0,1.4849623767076991e-05,129,,
0,1.4887217730574775e-05,130,,
0,1.492481169407256e-05,131,,
0,1.4962405657570343e-05,132,,
0,1.4999999621068127e-05,133,,
0,1.5037593584565911e-05,134,,
0,1.5075187548063695e-05,135,,
0,1.511278151156148e-05,136,,
0,1.5150376384553965e-05,137,,
0,1.518797034805175e-05,138,,
0,1.5225564311549533e-05,139,,
0,1.5263158275047317e-05,140,,
0,1.53007513290504e-05,141,,
0,1.5338346202042885e-05,142,,
0,1.5375939256045967e-05,143,,
0,1.5413534129038453e-05,144,,
0,1.5451127183041535e-05,145,,
0,1.548872205603402e-05,146,,
0,1.5526315110037103e-05,147,,
0,1.556390998302959e-05,148,,
0,1.560150303703267e-05,149,,
0,1.5639097910025157e-05,150,,
0,1.567669096402824e-05,151,,
